structure,workload,n,operation,time_ms,run_id
vEB,reverse,500000,search,34.6461,3
BST,zipfian,500000,insert,29221,1
BST,zipfian,500000,insert,57646.8,2
BST,zipfian,500000,insert,71193.5,3
BST,zipfian,500000,search,93.9378,1
BST,zipfian,500000,search,82.5018,2
BST,zipfian,500000,search,82.9069,3
BTree,zipfian,500000,insert,245.452,1
BTree,zipfian,500000,insert,239.126,2
BTree,zipfian,500000,insert,277.028,3
BTree,zipfian,500000,search,137.579,1
BTree,zipfian,500000,search,143.665,2
BTree,zipfian,500000,search,144.268,3
vEB,zipfian,500000,build,22.3157,1
vEB,zipfian,500000,build,15.0434,2
vEB,zipfian,500000,build,14.312,3
vEB,zipfian,500000,search,14.6707,1
vEB,zipfian,500000,search,14.3585,2
vEB,zipfian,500000,search,14.4078,3
BST,uniform,1000000,insert,864.918,1
BST,uniform,1000000,insert,1343.07,2
BST,uniform,1000000,insert,1410.14,3
BST,uniform,1000000,search,808.669,1
BST,uniform,1000000,search,934.817,2
BST,uniform,1000000,search,780.383,3
BTree,uniform,1000000,insert,924.747,1
BTree,uniform,1000000,insert,852.713,2
BTree,uniform,1000000,insert,956.585,3
BTree,uniform,1000000,search,879.295,1
BTree,uniform,1000000,search,979.066,2
BTree,uniform,1000000,search,958.229,3
vEB,uniform,1000000,build,38.1592,1
vEB,uniform,1000000,build,23.8852,2
vEB,uniform,1000000,build,28.7231,3
vEB,uniform,1000000,search,57.8621,1
vEB,uniform,1000000,search,57.7694,2
vEB,uniform,1000000,search,56.5163,3
BTree,sorted,1000000,insert,170.118,1
BTree,sorted,1000000,insert,199.184,2
BTree,sorted,1000000,insert,200.2,3
BTree,sorted,1000000,search,102.485,1
BTree,sorted,1000000,search,103.489,2
BTree,sorted,1000000,search,104.17,3
vEB,sorted,1000000,build,42.7445,1
vEB,sorted,1000000,build,29.0051,2
vEB,sorted,1000000,build,26.8311,3
vEB,sorted,1000000,search,68.4277,1
vEB,sorted,1000000,search,69.572,2
vEB,sorted,1000000,search,69.9108,3
BTree,reverse,1000000,insert,205.69,1
BTree,reverse,1000000,insert,221.523,2
BTree,reverse,1000000,insert,225.917,3
BTree,reverse,1000000,search,94.2378,1
BTree,reverse,1000000,search,95.8521,2
BTree,reverse,1000000,search,97.6994,3
vEB,reverse,1000000,build,40.133,1
vEB,reverse,1000000,build,27.3764,2
vEB,reverse,1000000,build,26.4078,3
vEB,reverse,1000000,search,68.7978,1
vEB,reverse,1000000,search,68.3861,2
vEB,reverse,1000000,search,70.071,3
BST,zipfian,1000000,insert,253963,1
BST,zipfian,1000000,insert,385064,2
BST,zipfian,1000000,insert,406539,3
BST,zipfian,1000000,search,235.33,1
BST,zipfian,1000000,search,228.417,2
BST,zipfian,1000000,search,229.23,3
BTree,zipfian,1000000,insert,610.576,1
BTree,zipfian,1000000,insert,586.644,2
BTree,zipfian,1000000,insert,572.129,3
BTree,zipfian,1000000,search,325.955,1
BTree,zipfian,1000000,search,329.234,2
BTree,zipfian,1000000,search,312.376,3
vEB,zipfian,1000000,build,33.6523,1
vEB,zipfian,1000000,build,26.623,2
vEB,zipfian,1000000,build,24.499,3
vEB,zipfian,1000000,search,25.0993,1
vEB,zipfian,1000000,search,25.0133,2
vEB,zipfian,1000000,search,25.405,3
